DayNum,VehId,Trip,Timestamp(ms),Latitude[deg],Longitude[deg],Vehicle Speed[km/h],MAF[g/sec],Engine RPM[RPM],Absolute Load[%],OAT[DegC],Fuel Rate[L/hr],Air Conditioning Power[kW],Air Conditioning Power[Watts],Heater Power[Watts],HV Battery Current[A],HV Battery SOC[%],HV Battery Voltage[V],Short Term Fuel Trim Bank 1[%],Short Term Fuel Trim Bank 2[%],Long Term Fuel Trim Bank 1[%],Long Term Fuel Trim Bank 2[%]
161.7602353,595,527,610000,42.27173778,-83.79912111,46,NaN,1449,12.54901981,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.46875,NaN,-5.46875,NaN
161.7602353,595,527,611200,42.27173778,-83.79912111,46,NaN,1449,14.90196133,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,-5.46875,NaN
161.7602353,595,527,612100,42.27209111,-83.7991575,46,NaN,1449,14.90196133,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,-5.46875,NaN
161.7602353,595,527,612400,42.27209111,-83.7991575,46,NaN,1405,14.90196133,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,-5.46875,NaN
161.7602353,595,527,613100,42.27209111,-83.7991575,46,NaN,1405,14.90196133,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,-7.8125,NaN
161.7602353,595,527,613800,42.27209111,-83.7991575,41,NaN,1405,14.90196133,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,-7.8125,NaN
161.7602353,595,527,614400,42.27209111,-83.7991575,41,NaN,1288,14.90196133,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,-7.8125,NaN
161.7602353,595,527,615100,42.27209111,-83.7991575,31,NaN,1288,14.90196133,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,-7.8125,NaN
161.7602353,595,527,616200,42.27244472,-83.79918278,31,NaN,1288,14.90196133,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,-7.8125,NaN
161.7602353,595,527,616400,42.27244472,-83.79918278,20,NaN,1015,16.47058868,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.8125,NaN,-7.8125,NaN
161.7602353,595,527,618400,42.27244472,-83.79918278,20,NaN,695,16.47058868,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.8125,NaN,-7.8125,NaN
161.7602353,595,1000,618900,42.27244472,-83.79918278,2,NaN,695,16.47058868,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.8125,NaN,-7.8125,NaN
161.7602353,595,1000,619100,42.27252667,-83.79918361,2,NaN,695,16.47058868,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.8125,NaN,-7.8125,NaN
161.7602353,595,1000,619500,42.27252667,-83.79918361,2,NaN,711,16.47058868,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.8125,NaN,-7.8125,NaN
161.7602353,595,1000,620100,42.27252667,-83.79918361,2,NaN,711,26.66666794,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.8125,NaN,-7.8125,NaN
